target_IL,target_OL,target_RPS,experiment_IL,experiment_OL,max_sustainable_rps,instances_needed,capacity_per_instance,total_capacity,test_name,scenario
10000.0,10.0,5.0,5000.0,10.0,5.0,1,5.0,5.0,5-8K_10,vary_IL
1000.0,10.0,19.0,1000.0,10.0,38.0,1,38.0,38.0,1K_10,vary_RPS
1000.0,10.0,38.0,1000.0,10.0,38.0,1,38.0,38.0,1K_10,vary_RPS
1000.0,10.0,57.0,1000.0,10.0,38.0,2,38.0,76.0,1K_10,vary_RPS
1000.0,10.0,76.0,1000.0,10.0,38.0,2,38.0,76.0,1K_10,vary_RPS
1000.0,10.0,114.0,1000.0,10.0,38.0,3,38.0,114.0,1K_10,vary_RPS
1000.0,5.0,38.0,1000.0,10.0,38.0,1,38.0,38.0,1K_10,vary_OL
1000.0,10.0,38.0,1000.0,10.0,38.0,1,38.0,38.0,1K_10,vary_OL
1000.0,15.0,38.0,1000.0,10.0,38.0,1,38.0,38.0,1K_10,vary_OL
1000.0,20.0,38.0,1000.0,10.0,38.0,1,38.0,38.0,1K_10,vary_OL
500.0,10.0,38.0,1000.0,10.0,38.0,1,38.0,38.0,1K_10,vary_IL
1000.0,10.0,38.0,1000.0,10.0,38.0,1,38.0,38.0,1K_10,vary_IL
1500.0,10.0,38.0,1000.0,10.0,38.0,1,38.0,38.0,1K_10,vary_IL
2000.0,10.0,38.0,1000.0,10.0,38.0,1,38.0,38.0,1K_10,vary_IL
4000.0,20.0,4.0,4000.0,20.0,8.0,1,8.0,8.0,4K_20,vary_RPS
4000.0,20.0,8.0,4000.0,20.0,8.0,1,8.0,8.0,4K_20,vary_RPS
4000.0,20.0,12.0,4000.0,20.0,8.0,2,8.0,16.0,4K_20,vary_RPS
4000.0,20.0,16.0,4000.0,20.0,8.0,2,8.0,16.0,4K_20,vary_RPS
4000.0,20.0,24.0,4000.0,20.0,8.0,3,8.0,24.0,4K_20,vary_RPS
4000.0,10.0,8.0,4000.0,20.0,8.0,1,8.0,8.0,4K_20,vary_OL
4000.0,20.0,8.0,4000.0,20.0,8.0,1,8.0,8.0,4K_20,vary_OL
4000.0,30.0,8.0,4000.0,20.0,8.0,1,8.0,8.0,4K_20,vary_OL
4000.0,40.0,8.0,4000.0,20.0,8.0,1,8.0,8.0,4K_20,vary_OL
2000.0,20.0,8.0,4000.0,20.0,8.0,1,8.0,8.0,4K_20,vary_IL
4000.0,20.0,8.0,4000.0,20.0,8.0,1,8.0,8.0,4K_20,vary_IL
6000.0,20.0,8.0,4000.0,20.0,8.0,1,8.0,8.0,4K_20,vary_IL
8000.0,20.0,8.0,4000.0,20.0,8.0,1,8.0,8.0,4K_20,vary_IL
